Commune,Niveau,Détails
Bertaucourt-Epourdon (02800),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Berthenicourt (02240),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bertricourt (02190),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Berzy-le-Sec (02200),Alerte renforcée,zone : bassin de l'Aisne aval (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Berzy-le-Sec (02200),Vigilance,zone : bassin de l'Ourcq (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Besmont (02500),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Besmont (02500),Alerte,zone : bassin de l'Oise Amont et Sambre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Besmé (02300),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Besny-et-Loizy (02870),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Beugneux (02210),Alerte renforcée,zone : bassin de l'Aisne aval (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Beugneux (02210),Vigilance,zone : bassin de l'Ourcq (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Beuvardes (02130),Vigilance,zone : bassin de la Marne (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Beuvardes (02130),Vigilance,zone : bassin de l'Ourcq (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bichancourt (02300),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bieuxy (02290),Alerte renforcée,zone : bassin de l'Aisne aval (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Billy-sur-Aisne (02200),Alerte renforcée,zone : bassin de l'Aisne aval (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Billy-sur-Ourcq (02210),Vigilance,zone : bassin de l'Ourcq (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bièvres (02860),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Blanzy-lès-Fismes (02160),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Blesmes (02400),Vigilance,zone : bassin de la Marne (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Blérancourt (02300),Alerte renforcée,zone : bassin de l'Aisne aval (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Blérancourt (02300),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bohain-en-Vermandois (02110),Vigilance,zone : bassin de l'Escaut (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bois-lès-Pargny (02270),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Boncourt (02350),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bonneil (02400),Vigilance,zone : bassin de la Marne (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bonnesvalyn (02400),Vigilance,zone : bassin de l'Ourcq (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bony (02420),Vigilance,zone : bassin de la Somme (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bony (02420),Vigilance,zone : bassin de l'Escaut (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bosmont-sur-Serre (02250),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bouconville-Vauclair (02860),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bouconville-Vauclair (02860),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bouffignereux (02160),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bouresches (02400),Vigilance,zone : bassin de la Marne (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bouresches (02400),Vigilance,zone : bassin de l'Ourcq (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bourg-et-Comin (02160),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bourguignon-sous-Coucy (02300),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bourguignon-sous-Montbavin (02000),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Boué (02450),Alerte,zone : bassin de l'Oise Amont et Sambre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Braine (02220),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Brancourt-en-Laonnois (02320),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Brancourt-le-Grand (02110),Vigilance,zone : bassin de l'Escaut (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Brasles (02400),Vigilance,zone : bassin de la Marne (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bray-Saint-Christophe (02480),Vigilance,zone : bassin de la Somme (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Braye (02880),Alerte renforcée,zone : bassin de l'Aisne aval (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Braye-en-Laonnois (02000),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Braye-en-Laonnois (02000),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Braye-en-Thiérache (02140),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Brenelle (02220),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Breny (02210),Vigilance,zone : bassin de l'Ourcq (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Brie (02870),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Brie (02870),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Brissay-Choigny (02240),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Brissay-Choigny (02240),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Brissy-Hamégicourt (02240),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Brumetz (02810),Vigilance,zone : bassin de l'Ourcq (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Brunehamel (02360),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bruys (02220),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bruyères-et-Montbérault (02860),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bruyères-sur-Fère (02130),Vigilance,zone : bassin de l'Ourcq (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Brécy (02210),Vigilance,zone : bassin de l'Ourcq (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bucilly (02500),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bucilly (02500),Alerte,zone : bassin de l'Oise Amont et Sambre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bucy-le-Long (02880),Alerte renforcée,zone : bassin de l'Aisne aval (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bucy-lès-Cerny (02870),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bucy-lès-Cerny (02870),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bucy-lès-Pierrepont (02350),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Buire (02500),Alerte,zone : bassin de l'Oise Amont et Sambre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Buironfosse (02620),Alerte,zone : bassin de l'Oise Amont et Sambre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Burelles (02140),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bussiares (02810),Vigilance,zone : bassin de l'Ourcq (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Buzancy (02200),Alerte renforcée,zone : bassin de l'Aisne aval (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Béthancourt-en-Vaux (02300),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bézu-Saint-Germain (02400),Vigilance,zone : bassin de la Marne (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bézu-Saint-Germain (02400),Vigilance,zone : bassin de l'Ourcq (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bézu-le-Guéry (02310),Vigilance,zone : bassin de la Marne (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Caillouël-Crépigny (02300),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Camelin (02300),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Castres (02680),Vigilance,zone : bassin de la Somme (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Caulaincourt (02490),Vigilance,zone : bassin de la Somme (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Caumont (02300),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
