Commune,Niveau,Détails
Roquefixade (09300),Crise,zone : BV_Sios (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Roquefort-les-Cascades (09300),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Roumengoux (09500),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Régat (09600),Crise,zone : BV_Countirou (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Régat (09600),Crise,zone : BV_Touyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Sabarat (09350),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Saint-Amadou (09100),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Saint-Félix-de-Tournegat (09500),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Saint-Girons (09200),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Saint-Jean-d'Aigues-Vives (09300),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
