Commune,Niveau,Détails
Ceyzériat (01250),Vigilance,zone : Dombes – Certines – Nord (eaux souterraines)<br>arrêté valable du 29/07/2022 au 31/10/2022
Ceyzérieu (01350),Alerte renforcée,zone : Rivières du Haut-Rhône (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Chalamont (01320),Alerte renforcée,zone : Rivières de Dombes (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Chalamont (01320),Vigilance,zone : Dombes – Certines – Nord (eaux souterraines)<br>arrêté valable du 29/07/2022 au 31/10/2022
Chaleins (01480),Alerte renforcée,zone : Rivières de Dombes (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Chaleins (01480),Alerte renforcée,zone : Dombes – Sud (eaux souterraines)<br>arrêté valable du 29/07/2022 au 31/10/2022
Chaley (01230),Alerte,zone : Rivières du Bugey (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Challes-la-Montagne (01450),Alerte,zone : Rivières du Bugey (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Challex (01630),Alerte renforcée,zone : Rivières du Haut-Rhône (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Champagne-en-Valromey (01260),Alerte renforcée,zone : Rivières du Haut-Rhône (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Champdor-Corcelles (01110),Alerte,zone : Rivières du Bugey (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Champfromier (01410),Alerte renforcée,zone : Rivières du Haut-Rhône (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Chanay (01420),Alerte renforcée,zone : Rivières du Haut-Rhône (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Chaneins (01990),Alerte renforcée,zone : Rivières de Dombes (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Chaneins (01990),Alerte renforcée,zone : Dombes – Sud (eaux souterraines)<br>arrêté valable du 29/07/2022 au 31/10/2022
Chanoz-Châtenay (01400),Alerte renforcée,zone : Rivières de Dombes (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Chanoz-Châtenay (01400),Vigilance,zone : Dombes – Certines – Nord (eaux souterraines)<br>arrêté valable du 29/07/2022 au 31/10/2022
Charix (01130),Alerte,zone : Rivières du Bugey (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
