Commune,Niveau,Détails
Allichamps (52130),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Louvemont (52130),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Dommartin-le-Franc (52110),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Curmont (52330),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Dommartin-le-Saint-Père (52110),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Humbécourt (52290),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Marbéville (52320),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Domblain (52130),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Fays (52130),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Rachecourt-Suzémont (52130),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Montreuil-sur-Blaise (52130),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Charmes-la-Grande (52110),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Leschères-sur-le-Blaiseron (52110),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Lachapelle-en-Blaisy (52330),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Mirbel (52320),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Colombey les Deux Églises (52330),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Vaux-sur-Blaise (52130),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Maizières (52300),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Doulevant-le-Petit (52130),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
La Genevroye (52320),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Blaisy (52330),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Sommancourt (52130),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Ambonville (52110),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Sexfontaines (52330),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Magneux (52130),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Troisfontaines-la-Ville (52130),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Brousseval (52130),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Guindrecourt-sur-Blaise (52330),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Cirey-sur-Blaise (52110),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Gillancourt (52330),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Flammerécourt (52110),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Baudrecourt (52110),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Ville-en-Blaisois (52130),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Morancourt (52110),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Éclaron-Braucourt-Sainte-Livière (52290),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Valleret (52130),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Doulevant-le-Château (52110),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Guindrecourt-aux-Ormes (52300),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Attancourt (52130),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Wassy (52130),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Arnancourt (52110),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Brachay (52110),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Beauchemin (52260),Alerte,zone : MARNE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Villiers-le-Sec (52000),Alerte,zone : MARNE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Riaucourt (52000),Alerte,zone : MARNE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Semilly (52700),Alerte,zone : MARNE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Moëslains (52100),Alerte,zone : MARNE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Chauffourt (52140),Alerte,zone : MARNE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Vecqueville (52300),Alerte,zone : MARNE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Perthes (52100),Alerte,zone : MARNE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Rachecourt-sur-Marne (52170),Alerte,zone : MARNE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Saint-Blin (52700),Alerte,zone : MARNE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Chatenay-Vaudin (52360),Alerte,zone : MARNE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Courcelles-en-Montagne (52200),Alerte,zone : MARNE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Ormancey (52200),Alerte,zone : MARNE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Neuilly-l'Évêque (52360),Alerte,zone : MARNE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
