Commune,Niveau,Détails
Chassors (16200),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Chazelles (16380),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Bandiat (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Cherves-Châtelars (16310),Crise,zone : OUGC Karst /  Zone d'alerte : Bonnieure (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Cherves-Richemont (16370),Crise,zone : OUGC Saintonge /  Zone d'alerte : L'Antenne (eaux superficielles)<br>arrêté valable du 27/07/2022 au 31/10/2022
Cherves-Richemont (16370),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Chillac (16480),Alerte renforcée,"zone : OUGC Isle-Dronne /  Zone d'alerte : Lary, Pousonne, Palais (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022"
Chillac (16480),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Châteaubernard (16100),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Châteaubernard (16100),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Châteauneuf-sur-Charente (16120),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Châtignac (16480),Crise,zone : OUGC Isle-Dronne /  Zone d'alerte : La Tude (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022
Châtignac (16480),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Claix (16440),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Cognac (16100),Crise,zone : OUGC Saintonge /  Zone d'alerte : L'Antenne (eaux superficielles)<br>arrêté valable du 27/07/2022 au 31/10/2022
Cognac (16100),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Combiers (16320),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Bandiat (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Condac (16700),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Péruse (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Condéon (16360),Alerte,zone : OUGC Saintonge /  Zone d'alerte : Seugne (eaux superficielles)<br>arrêté valable du 27/07/2022 au 31/10/2022
Condéon (16360),Alerte renforcée,"zone : OUGC Isle-Dronne /  Zone d'alerte : Lary, Pousonne, Palais (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022"
Condéon (16360),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Coteaux-du-Blanzacais (16250),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Coulgens (16560),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Tardoire (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Courbillac (16200),Crise,zone : OUGC Saintonge /  Zone d'alerte : L'Antenne (eaux superficielles)<br>arrêté valable du 27/07/2022 au 31/10/2022
"Courcôme (16240, 16700)",Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Bief (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Courgeac (16190),Crise,zone : OUGC Isle-Dronne /  Zone d'alerte : La Tude (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022
Courgeac (16190),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Courlac (16210),Crise,zone : OUGC Isle-Dronne /  Zone d'alerte : La Tude (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022
Criteuil-la-Magdeleine (16300),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Curac (16210),Crise,zone : OUGC Isle-Dronne /  Zone d'alerte : La Tude (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022
Deviat (16190),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Dignac (16410),Alerte,zone : OUGC Karst /  Zone d'alerte : Échelle-Lèche (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
