Commune,Niveau,Détails
Chevigny-en-Valière (21200),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Chivres (21820),Vigilance,zone : Saône moyenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Chorey-les-Beaune (21200),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Châteauneuf (21320),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Châtellenot (21320),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Châtillon-sur-Seine (21400),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Cirey-lès-Pontailler (21270),Vigilance,"zone : Bèze, Albane (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Civry-en-Montagne (21320),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Clamerey (21390),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Clomot (21230),Vigilance,"zone : Arroux, Lacanche (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Clénay (21490),Vigilance,"zone : Tille aval, Norges (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Cléry (21270),Vigilance,zone : Saône moyenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Collonges-et-Premières (21110),Vigilance,zone : Saône moyenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Collonges-et-Premières (21110),Vigilance,"zone : Tille aval, Norges (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Collonges-lès-Bévy (21220),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Colombier (21360),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Combertault (21200),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Comblanchien (21700),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Commarin (21320),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Corberon (21250),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Corcelles-les-Arts (21190),Vigilance,"zone : Dheune, Avant Dheune (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Corcelles-les-Monts (21160),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Corcelles-lès-Cîteaux (21910),Vigilance,"zone : Vouge, Biètre, Cent-Fonts (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Corgengoux (21250),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Corgoloin (21700),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
